Query ID: Q467101-28-20240709.050751.920
Query Text: select c_last_name    ,c_first_name    ,c_salutation    ,c_preferred_cust_flag     ,ss_ticket_number    ,cnt from  (select ss_ticket_number      ,ss_customer_sk      ,count(*) cnt   from store_sales,date_dim,store,household_demographics   where store_sales.ss_sold_date_sk = date_dim.d_date_sk   and store_sales.ss_store_sk = store.s_store_sk    and store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk   and date_dim.d_dom between 1 and 2   and (household_demographics.hd_buy_potential = '>10000' or     household_demographics.hd_buy_potential = 'Unknown')   and household_demographics.hd_vehicle_count > 0   and case when household_demographics.hd_vehicle_count > 0 then        household_demographics.hd_dep_count/ household_demographics.hd_vehicle_count else null end > 1   and date_dim.d_year in (2000,2000+1,2000+2)   and store.s_county in ('Mobile County','Maverick County','Huron County','Kittitas County')   group by ss_ticket_number,ss_customer_sk) dj,customer   where ss_customer_sk = c_customer_sk    and cnt between 1 and 5   order by cnt desc, c_last_name asc
Parsing Time: 574 ms
Execution Time: 3.326 s
Client Perceived Time: 7.891344785690308 s
Row Count: 552
Results:
['Abraham', 'Gregory', 'Dr.', 'Y', 11080833, 5]
['Adams', 'Adam', 'Miss', 'N', 166853412, 5]
['Adams', 'Joyce', 'Mrs.', 'N', 223197988, 5]
['Akers', 'Jessica', 'Mrs.', 'N', 200245848, 5]
['Akers', 'Staci', 'Ms.', 'Y', 222583636, 5]
['Alarcon', 'Julianne', 'Ms.', 'N', 157172181, 5]
['Allen', 'Michael', 'Sir', 'Y', 217404462, 5]
['Allison', 'Samuel', 'Sir', 'Y', 47182174, 5]
['Alvarez', 'Robert', 'Sir', 'N', 160857347, 5]
['Andersen', 'Theodore', 'Dr.', 'N', 183264003, 5]
['Anderson', 'John', 'Mr.', 'N', 93601121, 5]
['Anderson', 'Viola', 'Mrs.', 'Y', 163334643, 5]
['Aragon', 'Susan', 'Dr.', 'N', 235222867, 5]
['Archer', 'Evelyn', 'Dr.', 'Y', 231646666, 5]
['Arnold', 'Mark', 'Dr.', 'Y', 6044976, 5]
['Arnold', 'Evelyn', 'Mrs.', 'N', 121644739, 5]
['Baker', 'Terry', 'Sir', 'Y', 43078285, 5]
['Barlow', 'Vincent', 'Dr.', 'N', 47725567, 5]
['Barnes', 'Michelle', 'Miss', 'N', 216823889, 5]
['Barnes', 'Karen', 'Dr.', 'N', 44620378, 5]
['Barnes', 'Reynaldo', 'Mr.', 'Y', 206065376, 5]
['Baron', 'Maxine', 'Dr.', 'N', 212090058, 5]
['Barraza', 'Robert', 'Mr.', 'N', 39597256, 5]
['Bartels', 'Nadine', 'Mrs.', 'N', 171146982, 5]
['Bartholomew', 'Irving', 'Mr.', 'N', 229313159, 5]
['Bateman', 'Ruby', 'Miss', 'Y', 165475604, 5]
['Bean', 'Hope', 'Dr.', 'N', 90542432, 5]
['Becker', 'Matthew', 'Dr.', 'Y', 67201503, 5]
['Begay', 'Wilson', 'Sir', 'N', 60095104, 5]
['Bennett', 'Allan', 'Mr.', 'N', 151891768, 5]
['Bernard', 'Joyce', 'Dr.', 'Y', 11775369, 5]
['Bernard', 'Delores', 'Dr.', 'N', 70688724, 5]
['Bethea', 'Jennifer', 'Mrs.', 'N', 97925753, 5]
['Bingham', 'James', 'Sir', 'N', 39489390, 5]
['Blackwell', 'Rose', 'Miss', 'N', 145068316, 5]
['Blank', 'Travis', 'Sir', 'N', 124672198, 5]
['Boettcher', 'Matthew', 'Sir', 'N', 122002132, 5]
['Bogan', 'Robert', 'Dr.', 'Y', 227404564, 5]
['Boling', 'Harold', 'Mr.', 'N', 130424924, 5]
['Boone', 'Kenneth', 'Sir', 'Y', 112532228, 5]
['Boothe', 'Ivan', 'Sir', 'Y', 114949004, 5]
['Boudreau', 'Jimmy', 'Sir', 'Y', 144302852, 5]
['Bowden', 'Geoffrey', 'Mr.', 'Y', 120737227, 5]
['Bowens', 'Barbara', 'Ms.', 'N', 106935995, 5]
['Boyd', 'Samuel', 'Dr.', 'N', 19733274, 5]
['Boyd', 'Matthew', 'Mr.', 'N', 68601455, 5]
['Boyer', 'Allison', 'Dr.', 'N', 111449811, 5]
['Boykin', 'Crystal', 'Dr.', 'Y', 11823327, 5]
['Bradbury', 'Martha', 'Dr.', 'Y', 205585001, 5]
['Branch', 'Ashleigh', 'Dr.', 'N', 5507569, 5]
['Bray', 'Andrea', 'Mrs.', 'N', 109893173, 5]
['Brock', 'Mark', 'Mr.', 'Y', 229042458, 5]
['Brown', 'Travis', 'Sir', 'Y', 65519731, 5]
['Brown', 'Beatrice', 'Dr.', 'N', 30149448, 5]
['Bruce', 'Lillian', 'Miss', 'Y', 94467609, 5]
['Bryan', 'Roderick', 'Mr.', 'N', 195475569, 5]
['Bryant', 'Jacob', 'Sir', 'N', 170717365, 5]
['Bryson', 'Jesse', 'Mr.', 'Y', 160683842, 5]
['Bumgarner', 'Kenneth', 'Mr.', 'Y', 225952585, 5]
['Burgess', 'Lewis', 'Sir', 'Y', 139126397, 5]
['Burnett', 'John', 'Sir', 'Y', 185908922, 5]
['Burnett', 'Jacob', 'Sir', 'N', 36633600, 5]
['Burns', 'Fred', 'Sir', 'Y', 84671013, 5]
['Burns', 'Mitchell', 'Sir', 'N', 66408265, 5]
['Burrow', 'Edna', 'Ms.', 'Y', 219117986, 5]
['Burt', 'Alberta', 'Dr.', 'Y', 30347948, 5]
['Burt', 'Jacqueline', 'Mrs.', 'Y', 84910372, 5]
['Burton', 'Donald', 'Sir', 'N', 178211803, 5]
['Burton', 'John', 'Mr.', 'N', 139277400, 5]
['Bush', 'Tiffany', 'Miss', 'N', 42171633, 5]
['Butler', 'Dennis', 'Sir', 'Y', 122088995, 5]
['Cabral', 'Jeffrey', 'Mr.', 'N', 22654159, 5]
['Cain', 'Chad', 'Mr.', 'Y', 81250434, 5]
['Calabrese', 'John', 'Sir', 'Y', 127292112, 5]
['Callahan', 'Leesa', 'Dr.', 'N', 231894321, 5]
['Camacho', 'Derek', 'Sir', 'N', 170631925, 5]
['Campbell', 'Byron', 'Sir', 'Y', 77353045, 5]
['Campbell', 'Chester', 'Mr.', 'N', 156592513, 5]
['Campbell', 'James', 'Mr.', 'N', 73588153, 5]
['Carder', 'Patrick', 'Dr.', 'Y', 18705737, 5]
['Carpenter', 'Jacque', 'Miss', 'Y', 145369731, 5]
['Carr', 'Bertha', 'Mrs.', 'Y', 208666309, 5]
['Carroll', 'Sha', 'Mrs.', 'N', 239985517, 5]
['Castillo', 'Calvin', 'Dr.', 'Y', 143291234, 5]
['Castleberry', 'Bridget', 'Dr.', 'N', 128724370, 5]
['Causey', 'Daniel', 'Sir', 'Y', 189017369, 5]
['Chaffin', 'Betty', 'Miss', 'N', 69112918, 5]
['Chamberlain', 'Rodney', 'Mr.', 'N', 229677861, 5]
['Chandler', 'Vivian', 'Mrs.', 'Y', 161708354, 5]
['Chandler', 'Daniel', 'Dr.', 'Y', 221562171, 5]
['Chang', 'Timothy', 'Sir', 'Y', 71631130, 5]
['Charlton', 'Lois', 'Dr.', 'N', 58030589, 5]
['Chavez', 'Rita', 'Ms.', 'Y', 198377178, 5]
['Chin', 'Bonnie', 'Dr.', 'Y', 30012332, 5]
['Clark', 'Nell', 'Miss', 'Y', 128127986, 5]
['Cobb', 'William', 'Sir', 'Y', 228033647, 5]
['Cohn', 'Thomas', 'Dr.', 'Y', 218150452, 5]
['Contreras', 'Mark', 'Mr.', 'Y', 112031285, 5]
['Cooney', 'Sandra', 'Ms.', 'Y', 101713497, 5]
['Cortez', 'James', 'Sir', 'N', 112934306, 5]
['Cosby', 'Carla', 'Mrs.', 'Y', 13459201, 5]
['Cote', 'Kathleen', 'Ms.', 'N', 53621327, 5]
['Cox', 'Annie', 'Ms.', 'N', 18667374, 5]
['Cruz', 'Rosemary', 'Ms.', 'N', 189820724, 5]
['Cruz', 'Annabelle', 'Mrs.', 'N', 167083361, 5]
['Cuevas', 'Lawrence', 'Dr.', 'N', 197744946, 5]
['Cummings', 'Lorraine', 'Miss', 'N', 189759380, 5]
['Dale', 'Roselyn', 'Dr.', 'N', 130002278, 5]
['Dalton', 'Robert', 'Sir', 'N', 84464728, 5]
['Daniel', 'Russell', 'Dr.', 'Y', 67172049, 5]
['David', 'Dexter', 'Dr.', 'N', 222177280, 5]
['Davis', 'Thomas', 'Mr.', 'Y', 1159951, 5]
['Davis', 'Arthur', 'Dr.', 'Y', 170167198, 5]
['Dawson', 'Ronald', 'Mr.', 'Y', 116391821, 5]
['Dean', 'William', 'Sir', 'N', 120054295, 5]
['Deberry', 'Randall', 'Sir', 'Y', 38513699, 5]
['Dempsey', 'Ashley', 'Dr.', 'N', 21584819, 5]
['Devore', 'Kimberley', 'Miss', 'Y', 23667252, 5]
['Dillon', 'Daniel', 'Dr.', 'Y', 83127142, 5]
['Dinkins', 'Mariana', 'Miss', 'Y', 206297443, 5]
['Dixon', 'Anna', 'Ms.', 'N', 17367328, 5]
['Dixon', 'Roger', 'Dr.', 'Y', 197475111, 5]
['Doherty', 'Caroline', 'Dr.', 'Y', 4340126, 5]
['Domingo', 'Eric', 'Mr.', 'Y', 218127829, 5]
['Donnelly', 'Christopher', 'Mr.', 'N', 110688080, 5]
['Doyle', 'Walter', 'Dr.', 'Y', 52850308, 5]
['Driver', 'Gina', 'Miss', 'Y', 159489705, 5]
['Dugas', 'Matthew', 'Dr.', 'Y', 132719125, 5]
['Dupre', 'Cody', 'Mr.', 'Y', 39732869, 5]
['Edwards', 'Bonnie', 'Mrs.', 'N', 123426700, 5]
['Edwards', 'Oscar', 'Mr.', 'N', 112001709, 5]
['Edwards', 'Geraldine', 'Mrs.', 'N', 48533612, 5]
['Elliott', 'Ellena', 'Miss', 'N', 129638579, 5]
['Ellison', 'Karen', 'Mrs.', 'N', 10273096, 5]
['Ellison', 'Bee', 'Dr.', 'Y', 164068007, 5]
['Ennis', 'Stephen', 'Sir', 'N', 181031185, 5]
['Farmer', 'Adolph', 'Sir', 'Y', 3488169, 5]
['Ferguson', 'Francis', 'Dr.', 'N', 100948605, 5]
['Fernandez', 'Junior', 'Dr.', 'Y', 13765615, 5]
['Fernandez', 'Ronald', 'Mr.', 'Y', 126865897, 5]
['Fields', 'Jessica', 'Ms.', 'Y', 15154374, 5]
['Fields', 'Thomas', 'Mr.', 'Y', 76816596, 5]
['Finney', 'Linda', 'Dr.', 'Y', 228418027, 5]
['Flanagan', 'Aileen', 'Dr.', 'N', 22149018, 5]
['Fleming', 'Betty', 'Mrs.', 'N', 229248175, 5]
['Fleming', 'Guadalupe', 'Dr.', 'N', 54165305, 5]
['Flores', 'James', 'Dr.', 'Y', 220063589, 5]
['Fogarty', 'Andrew', 'Mrs.', 'Y', 68221290, 5]
['Folsom', 'Carolyn', 'Miss', 'Y', 54343505, 5]
['Ford', 'Edward', 'Dr.', 'Y', 150611978, 5]
['Ford', 'Delores', 'Miss', 'Y', 73569662, 5]
['Ford', 'Althea', 'Miss', 'Y', 32592845, 5]
['Forte', 'Tiffany', 'Dr.', 'Y', 89243088, 5]
['Franz', 'Christian', 'Dr.', 'Y', 53270274, 5]
['Fuller', 'Joanne', 'Mrs.', 'N', 28921128, 5]
['Fultz', 'Concepcion', 'Ms.', 'Y', 163389803, 5]
['Gallagher', 'Jeffrey', 'Mr.', 'Y', 72475571, 5]
['Gallegos', 'Joanne', 'Mrs.', 'N', 5558779, 5]
['Gannon', 'Sanford', 'Mr.', 'Y', 193610556, 5]
['Garcia', 'Latonya', 'Miss', 'N', 35754948, 5]
['Garcia', 'Shelby', 'Dr.', 'Y', 39936704, 5]
['Garcia', 'Jeffrey', 'Dr.', 'N', 11686178, 5]
['Gardner', 'Brandon', 'Dr.', 'N', 24222697, 5]
['Gardner', 'Lois', 'Ms.', 'Y', 97009525, 5]
['Gardner', 'David', 'Dr.', 'N', 97763342, 5]
['Gardner', 'Sherri', 'Ms.', 'N', 34091740, 5]
['Garner', 'Melba', 'Dr.', 'Y', 14210036, 5]
['Gentile', 'Harriett', 'Ms.', 'N', 227379547, 5]
['Gibbons', 'Dawne', 'Dr.', 'N', 91522481, 5]
['Gibson', 'John', 'Dr.', 'N', 131943503, 5]
['Gilley', 'Lucy', 'Miss', 'N', 97201310, 5]
['Gilman', 'Mike', 'Mr.', 'Y', 54653789, 5]
['Gladden', 'Brian', 'Mr.', 'N', 15903168, 5]
['Gleason', 'Jose', 'Sir', 'Y', 179427023, 5]
['Golden', 'Matthew', 'Dr.', 'Y', 38103703, 5]
['Gonzalez', 'Alfred', 'Dr.', 'Y', 222521256, 5]
['Gooden', 'Rosemary', 'Ms.', 'Y', 103966204, 5]
['Gordon', 'Marvin', 'Mr.', 'N', 71264127, 5]
['Graham', 'Michael', 'Sir', 'N', 142897493, 5]
['Graves', 'Jesse', 'Mr.', 'N', 80296082, 5]
['Gray', 'Kay', 'Mrs.', 'Y', 70127973, 5]
['Gray', 'Christine', 'Ms.', 'Y', 170538168, 5]
['Green', 'Juanita', 'Miss', 'N', 10359262, 5]
['Gregory', 'Ronald', 'Dr.', 'Y', 184057392, 5]
['Griffin', 'Susan', 'Dr.', 'N', 51011546, 5]
['Griffith', 'Stephen', 'Sir', 'N', 86626122, 5]
['Grisham', 'Concepcion', 'Mrs.', 'N', 201376887, 5]
['Guerrero', 'Elvin', 'Sir', 'Y', 125884520, 5]
['Haas', 'Jennifer', 'Miss', 'Y', 85531822, 5]
['Halcomb', 'Marjorie', 'Mrs.', 'Y', 56858388, 5]
['Hall', 'Paulette', 'Mrs.', 'Y', 72363058, 5]
['Hall', 'Steven', 'Dr.', 'Y', 120515971, 5]
['Hall', 'Melissa', 'Miss', 'Y', 215050103, 5]
['Han', 'Bertha', 'Miss', 'N', 26014440, 5]
['Hancock', 'Harvey', 'Sir', 'N', 59785215, 5]
['Hardin', 'John', 'Mr.', 'N', 39206297, 5]
['Harding', 'Jennifer', 'Mrs.', 'Y', 48829680, 5]
['Hargrave', 'Pedro', 'Mr.', 'N', 63757576, 5]
['Harmon', 'James', 'Dr.', 'Y', 71848695, 5]
['Harris', 'Frank', 'Mr.', 'Y', 232195021, 5]
